order_id,customer_id,product_name,unit_price,quantity,region,order_date
ORD104342,CUST1069,USB-C Hub,1299.0,2,,01/02/2024
ORD100497,CUST1377,Wireless Mouse,799.0,2,north,24-06-2024
ORD100187,CUST1417,USB-C Hub,1299.0,1,south,15/03/2024
ORD101113,CUST1256,Monitor 24-inch,8999.0,2,south,03-12-2024
ORD100225,CUST1223,Portable SSD 1TB,6999.0,0,South,16/07/2024
ORD101840,CUST1166,Monitor 24-inch,8999.0,3,South,2024-03-23
ORD103155,CUST1273,Portable SSD 1TB,6999.0,3,EAST,28/03/2024
ORD100644,CUST1490,Noise Cancelling Headphones,5999.0,2,EAST,12/09/2024
ORD102350,CUST1071,Noise Cancelling Headphones,5999.0,3,north,05-04-2024
ORD103760,CUST1333,USB-C Hub,1299.0,2,South,2024-05-18
ORD104042,CUST1238,Noise Cancelling Headphones,5999.0,3,West,2024-12-22
ORD101013,CUST1075,Mechanical Keyboard,3499.0,1,EAST,14/04/2024
ORD101549,CUST1443,Portable SSD 1TB,6999.0,1,South,25-02-2024
ORD101682,CUST1496,Wireless Mouse,799.0,2,south,30/04/2024
ORD102936,CUST1231,USB-C Hub,1299.0,1,south,2024-02-25
ORD100072,CUST1032,Portable SSD 1TB,6999.0,5,West,04/10/2024
ORD101015,CUST1213,Mechanical Keyboard,3499.0,0,south,2024-12-12
ORD104629,CUST1454,Webcam 1080p,2499.0,5,north,2024-04-28
ORD102180,CUST1485,Wireless Mouse,799.0,0,North,22/01/2024
ORD101805,CUST1053,Laptop Stand,1999.0,3,south,04-04-2024
ORD102247,CUST1378,Wireless Mouse,799.0,3,EAST,2024-11-25
ORD104749,CUST1223,Portable SSD 1TB,6999.0,2,EAST,10-04-2024
ORD100860,CUST1003,USB-C Hub,1299.0,3,North,01-08-2024
ORD104531,CUST1385,Laptop Stand,1999.0,3,West,05/05/2024
ORD101893,CUST1405,Monitor 24-inch,8999.0,2,North,01/10/2024
ORD104557,CUST1197,USB-C Hub,1299.0,0,,10-05-2024
ORD102343,CUST1032,Monitor 24-inch,8999.0,0,West,15-07-2024
ORD103947,CUST1419,Mechanical Keyboard,3499.0,3,South,2024-09-23
ORD101491,CUST1478,Noise Cancelling Headphones,5999.0,5,West,06/08/2024
ORD101616,CUST1217,Wireless Mouse,799.0,3,EAST,2024-08-22
ORD100635,CUST1283,USB-C Hub,1299.0,5,West,2024-06-30
ORD101438,CUST1052,Webcam 1080p,2499.0,1,South,20-10-2024
ORD103867,CUST1415,Wireless Mouse,799.0,1,EAST,2024-12-27
ORD102168,CUST1008,Noise Cancelling Headphones,5999.0,5,South,31-07-2024
ORD100230,CUST1038,Portable SSD 1TB,6999.0,2,EAST,2024-01-16
ORD103867,CUST1415,Wireless Mouse,799.0,1,EAST,2024-12-27
ORD101363,CUST1270,Webcam 1080p,2499.0,-1,West,21/06/2024
ORD100901,CUST1082,Laptop Stand,1999.0,1,North,11-06-2024
ORD101057,CUST1496,Portable SSD 1TB,6999.0,2,North,30/08/2024
ORD104354,CUST1018,Noise Cancelling Headphones,5999.0,1,south,2024-05-04
ORD101327,CUST1262,Monitor 24-inch,8999.0,3,north,2024-06-04
ORD103852,CUST1272,Mechanical Keyboard,3499.0,1,South,25-01-2024
ORD100396,CUST1195,USB-C Hub,1299.0,2,South,05-02-2024
ORD100913,CUST1496,Portable SSD 1TB,6999.0,-1,South,12-03-2024
ORD103129,CUST1005,USB-C Hub,1299.0,3,EAST,01/10/2024
ORD101485,CUST1402,USB-C Hub,1299.0,3,North,14-03-2024
ORD102667,CUST1341,Webcam 1080p,2499.0,2,South,2024-05-06
ORD101632,CUST1162,Portable SSD 1TB,6999.0,,south,2024-08-28
ORD104365,CUST1422,USB-C Hub,1299.0,5,south,2024-08-17
ORD103221,CUST1367,Webcam 1080p,2499.0,,EAST,01-03-2024
ORD101908,CUST1232,Monitor 24-inch,8999.0,0,south,01/10/2024
ORD102038,CUST1381,USB-C Hub,1299.0,1,West,2024-06-03
ORD102617,CUST1284,Monitor 24-inch,8999.0,2,EAST,2024-02-14
ORD102820,CUST1022,Portable SSD 1TB,6999.0,5,,2024-10-24
ORD104727,CUST1186,Noise Cancelling Headphones,5999.0,2,north,28/05/2024
ORD103511,CUST1307,Mechanical Keyboard,3499.0,2,West,20/02/2024
ORD100607,CUST1420,USB-C Hub,1299.0,3,north,26-03-2024
ORD104747,CUST1159,Portable SSD 1TB,6999.0,0,north,2024-12-05
ORD104014,CUST1323,Wireless Mouse,799.0,2,EAST,04/07/2024
ORD103840,CUST1263,Noise Cancelling Headphones,5999.0,3,south,02/08/2024
ORD104181,CUST1070,USB-C Hub,1299.0,2,North,2024-03-12
ORD100124,CUST1233,Noise Cancelling Headphones,5999.0,2,south,19/10/2024
ORD100765,CUST1055,Mechanical Keyboard,3499.0,3,West,06-08-2024
ORD101003,CUST1476,Laptop Stand,1999.0,5,West,06-11-2024
ORD102687,CUST1186,Monitor 24-inch,8999.0,2,South,2024-06-30
ORD101369,CUST1194,USB-C Hub,1299.0,5,North,27/11/2024
ORD103870,CUST1134,Monitor 24-inch,8999.0,5,West,22-01-2024
ORD104142,CUST1167,Monitor 24-inch,8999.0,3,north,28/01/2024
ORD103033,CUST1391,Mechanical Keyboard,3499.0,1,south,17/08/2024
ORD101451,CUST1123,Monitor 24-inch,8999.0,0,South,23/05/2024
ORD104597,CUST1290,Portable SSD 1TB,6999.0,3,south,24/03/2024
ORD104266,CUST1099,Portable SSD 1TB,6999.0,3,EAST,03-07-2024
ORD102235,CUST1042,Laptop Stand,1999.0,1,West,12-08-2024
ORD103501,CUST1315,USB-C Hub,1299.0,-1,South,31/05/2024
ORD104186,CUST1115,Mechanical Keyboard,3499.0,2,South,2024-12-03
ORD104116,CUST1160,USB-C Hub,1299.0,3,north,2024-11-12
ORD103719,CUST1335,Webcam 1080p,2499.0,-1,South,05/02/2024
ORD104147,CUST1119,Mechanical Keyboard,3499.0,1,South,27/06/2024
ORD100186,CUST1324,Mechanical Keyboard,3499.0,2,north,27/06/2024
ORD102233,CUST1172,Wireless Mouse,799.0,1,North,14-01-2024
ORD104132,CUST1196,Mechanical Keyboard,3499.0,3,North,2024-08-20
ORD101094,CUST1457,Noise Cancelling Headphones,5999.0,-1,EAST,2024-03-02
ORD103391,CUST1384,Noise Cancelling Headphones,5999.0,-1,South,09-11-2024
ORD100404,CUST1134,Laptop Stand,1999.0,1,North,22-07-2024
ORD104228,CUST1089,Noise Cancelling Headphones,5999.0,2,South,01/11/2024
ORD102604,CUST1198,Mechanical Keyboard,3499.0,1,North,27/07/2024
